"","x"
"1","X"
"2","id"
"3","package_type"
"4","id.1"
"5","antiques"
"6","art"
"7","auto_parts"
"8","avid_collector"
"9","bank_card_in_household"
"10","baseball_fan"
"11","basketball_fan"
"12","boating"
"13","books_magazines"
"14","card_any"
"15","card_premium"
"16","cat_owner"
"17","charitable_donations"
"18","children_interests"
"19","collectibles"
"20","dieting"
"21","dog_owner"
"22","equestrian"
"23","foodie"
"24","football_fan"
"25","frequent_remodeler"
"26","gaming"
"27","gardener"
"28","golfs"
"29","green"
"30","health_conscious"
"31","hockey_fan"
"32","investing"
"33","mail_order_buyer"
"34","medical_health"
"35","membership_club"
"36","mens_apparel"
"37","motorcycling"
"38","music"
"39","news_politics"
"40","online_purchases"
"41","outdoors"
"42","parenting"
"43","pet_any"
"44","political_donor"
"45","soccer_fan"
"46","sports_fan"
"47","tech_focused"
"48","travel"
"49","travels_internationally"
"50","vehicle_any"
"51","vehicle_luxury"
"52","vehicle_pickup"
"53","vehicle_suv"
"54","video_games"
"55","womens_apparel"
"56","label"
